neuron,smp-2,nrx-1,plx-1,unc-6,unc-129,syg-1,efn-3,cdh-3,cdh-4,syg-2,mig-1,vab-2,nlg-1,rig-3,cfz-2,syd-2,efn-4,slt-1,sax-3,mom-5,egl-20,sax-7,smp-1,nid-1,mig-5,lin-44,vab-1,unc-40,hmr-1,lin-17,efn-2,rig-6,unc-5,plx-2
IL2VL,-0.35832995,-0.5431302,-0.5863807,-0.45986825,-0.38116437,-0.81867224,0.0,2.435143,-0.31804073,-0.54283094,-0.6525847,-0.33980462,-0.12918779,-0.02998073,-0.4750797,-0.9664112,-0.45946,-0.26408654,-0.5238158,0.3419394,-0.15184641,0.6780189,-0.002091905,0.16075201,0.79390377,0.092880026,-0.4956668,-0.2918212,-0.7028364,-0.5511482,-0.7116477,-0.5181823,-0.5502269,-0.07891211
IL2VR,-0.35832995,-0.5431302,-0.5863807,-0.45986825,-0.38116437,-0.81867224,0.0,2.435143,-0.31804073,-0.54283094,-0.6525847,-0.33980462,-0.12918779,-0.02998073,-0.4750797,-0.9664112,-0.45946,-0.26408654,-0.5238158,0.3419394,-0.15184641,0.6780189,-0.002091905,0.16075201,0.79390377,0.092880026,-0.4956668,-0.2918212,-0.7028364,-0.5511482,-0.7116477,-0.5181823,-0.5502269,-0.07891211
OLLL,-0.35832995,-0.57844824,-0.5863807,-0.35282838,0.6316871,-0.92702967,0.0,3.039152,-0.25805208,0.17294124,-0.49104306,-0.5457942,-0.36898717,1.9681247,0.2995894,-0.9072146,-0.6505479,-0.26408654,-0.6766414,1.7554171,-0.15184641,-1.002754,-0.6998183,3.2375515,1.1111801,-0.29439822,1.5025892,0.8300527,-0.19681264,2.4711497,-0.57299745,-0.96725035,-0.703889,-0.7308479
OLLR,-0.35832995,-0.57844824,-0.5863807,-0.35282838,0.6316871,-0.92702967,0.0,3.039152,-0.25805208,0.17294124,-0.49104306,-0.5457942,-0.36898717,1.9681247,0.2995894,-0.9072146,-0.6505479,-0.26408654,-0.6766414,1.7554171,-0.15184641,-1.002754,-0.6998183,3.2375515,1.1111801,-0.29439822,1.5025892,0.8300527,-0.19681264,2.4711497,-0.57299745,-0.96725035,-0.703889,-0.7308479
OLQDL,-0.35832995,-0.5206252,-0.27077964,-0.15946607,4.128766,-0.6870122,0.0,0.060205363,0.18109345,0.1505378,0.2921924,-0.3176552,-0.36898717,0.21189708,0.36584818,1.2071537,-0.43891287,0.5596065,-0.356589,0.47631797,-0.15184641,-0.14149114,-0.5066306,-0.6632444,0.34250927,-0.29439822,-0.5136263,0.5350144,-0.20864227,0.28888473,-0.3460717,-0.22121792,-0.023149386,-0.4921339
OLQDR,-0.35832995,-0.5206252,-0.27077964,-0.15946607,4.128766,-0.6870122,0.0,0.060205363,0.18109345,0.1505378,0.2921924,-0.3176552,-0.36898717,0.21189708,0.36584818,1.2071537,-0.43891287,0.5596065,-0.356589,0.47631797,-0.15184641,-0.14149114,-0.5066306,-0.6632444,0.34250927,-0.29439822,-0.5136263,0.5350144,-0.20864227,0.28888473,-0.3460717,-0.22121792,-0.023149386,-0.4921339
OLQVL,-0.35832995,-0.5206252,-0.27077964,-0.15946607,4.128766,-0.6870122,0.0,0.060205363,0.18109345,0.1505378,0.2921924,-0.3176552,-0.36898717,0.21189708,0.36584818,1.2071537,-0.43891287,0.5596065,-0.356589,0.47631797,-0.15184641,-0.14149114,-0.5066306,-0.6632444,0.34250927,-0.29439822,-0.5136263,0.5350144,-0.20864227,0.28888473,-0.3460717,-0.22121792,-0.023149386,-0.4921339
OLQVR,-0.35832995,-0.5206252,-0.27077964,-0.15946607,4.128766,-0.6870122,0.0,0.060205363,0.18109345,0.1505378,0.2921924,-0.3176552,-0.36898717,0.21189708,0.36584818,1.2071537,-0.43891287,0.5596065,-0.356589,0.47631797,-0.15184641,-0.14149114,-0.5066306,-0.6632444,0.34250927,-0.29439822,-0.5136263,0.5350144,-0.20864227,0.28888473,-0.3460717,-0.22121792,-0.023149386,-0.4921339
PVPL,-0.35832995,-0.7366114,-0.5863807,-0.35282838,-0.32166263,-0.92702967,0.0,-0.8491572,0.19405742,-0.6284125,-0.8607938,-0.5457942,-0.36898717,-0.81302226,-0.49041972,-0.5261366,-0.6505479,-0.26408654,0.4681611,-0.020048905,-0.15184641,-0.456635,-0.6998183,1.3578935,2.4728258,-0.29439822,-0.56077296,-0.5843049,-1.1594594,1.4141152,-0.57299745,-0.7014227,-0.5219672,-0.45676884
PVPR,-0.35832995,-0.7366114,-0.5863807,-0.35282838,-0.32166263,-0.92702967,0.0,-0.8491572,0.19405742,-0.6284125,-0.8607938,-0.5457942,-0.36898717,-0.81302226,-0.49041972,-0.5261366,-0.6505479,-0.26408654,0.4681611,-0.020048905,-0.15184641,-0.456635,-0.6998183,1.3578935,2.4728258,-0.29439822,-0.56077296,-0.5843049,-1.1594594,1.4141152,-0.57299745,-0.7014227,-0.5219672,-0.45676884
PVR,-0.35832995,-1.2111009,-0.5863807,-0.45986825,-0.45785543,-0.92702967,0.0,-0.8491572,-1.4636774,-0.9489539,-0.8607938,-0.5457942,-0.36898717,-0.81302226,-0.96442515,-1.2882925,-0.6505479,-0.26408654,0.13426046,-0.90778196,11.241952,0.028803984,-0.6998183,-0.89769644,2.3593554,-0.29439822,-1.0766135,-1.0086122,-0.38017377,-0.6999541,-0.8903523,-0.96725035,-0.703889,-1.004927
PVT,-0.35832995,0.012027679,-0.5863807,7.19705,-0.45785543,-0.92702967,0.0,-0.8491572,0.5758389,-0.9489539,1.9986122,-0.5457942,-0.36898717,-0.81302226,-0.658955,1.6587106,0.0055207335,0.10069179,0.6875818,0.808502,-0.15184641,1.4365771,1.6957089,-0.89769644,0.3849693,0.5920387,2.4139078,0.63204277,-0.114299774,6.4526467,0.33675325,0.06061657,-0.0004580083,0.58473194
RIAL,-0.35832995,2.166401,0.21409841,-0.31877023,-0.3860447,0.7978233,0.0,-0.3366074,0.3639411,1.3327184,-0.2759154,3.50471,0.36878535,-0.14646637,1.243291,2.8308141,-0.56108403,-0.065116554,0.5995531,-0.90778196,-0.15184641,-0.62709016,-0.29148984,-0.40215018,-0.21332961,-0.29439822,0.69131315,-0.4120104,1.9885194,-0.14260857,-0.4301878,0.43438646,-0.56000537,0.0789313
RIAR,-0.35832995,2.166401,0.21409841,-0.31877023,-0.3860447,0.7978233,0.0,-0.3366074,0.3639411,1.3327184,-0.2759154,3.50471,0.36878535,-0.14646637,1.243291,2.8308141,-0.56108403,-0.065116554,0.5995531,-0.90778196,-0.15184641,-0.62709016,-0.29148984,-0.40215018,-0.21332961,-0.29439822,0.69131315,-0.4120104,1.9885194,-0.14260857,-0.4301878,0.43438646,-0.56000537,0.0789313
RIBL,-0.35832995,-0.61283153,3.2419977,0.07998496,-0.45785543,1.9844866,0.0,-0.8491572,-0.3235752,-0.54479295,-0.39458635,-0.5457942,5.9209056,-0.81302226,-0.36676612,2.5556245,0.6330646,-0.26408654,-1.2490426,0.21153365,-0.15184641,-0.58327127,-0.6998183,3.3683105,-0.07285942,-0.29439822,-0.42620584,-0.47361606,-0.32237524,-0.6999541,-0.8903523,-0.2969024,0.44300935,-0.659349
RIBR,-0.35832995,-0.61283153,3.2419977,0.07998496,-0.45785543,1.9844866,0.0,-0.8491572,-0.3235752,-0.54479295,-0.39458635,-0.5457942,5.9209056,-0.81302226,-0.36676612,2.5556245,0.6330646,-0.26408654,-1.2490426,0.21153365,-0.15184641,-0.58327127,-0.6998183,3.3683105,-0.07285942,-0.29439822,-0.42620584,-0.47361606,-0.32237524,-0.6999541,-0.8903523,-0.2969024,0.44300935,-0.659349
RICL,-0.35832995,0.062991366,-0.5863807,0.057491086,0.20040986,0.0030380508,0.0,-0.8491572,0.478719,0.342116,-0.8607938,-0.5457942,0.8071718,-0.81302226,0.81748426,2.3954613,0.4428998,-0.26408654,-0.09629004,0.5224546,-0.15184641,-0.26448205,0.7973861,1.5249742,2.3593554,-0.29439822,-0.66107535,0.8143376,0.5060726,-0.6999541,1.4104706,0.7458611,-0.4107928,-1.004927
RICR,-0.35832995,0.062991366,-0.5863807,0.057491086,0.20040986,0.0030380508,0.0,-0.8491572,0.478719,0.342116,-0.8607938,-0.5457942,0.8071718,-0.81302226,0.81748426,2.3954613,0.4428998,-0.26408654,-0.09629004,0.5224546,-0.15184641,-0.26448205,0.7973861,1.5249742,2.3593554,-0.29439822,-0.66107535,0.8143376,0.5060726,-0.6999541,1.4104706,0.7458611,-0.4107928,-1.004927
RID,-0.35832995,0.3178098,1.0442249,-0.45986825,-0.45785543,-0.92702967,0.0,2.2830918,-0.97807837,0.342116,0.33062527,-0.5457942,-0.36898717,-0.81302226,-0.7098667,0.55358446,-0.6505479,-0.26408654,-0.3268406,-0.90778196,-0.15184641,-0.26448205,1.2964542,0.31363887,1.2624742,-0.29439822,-0.24553704,5.1438437,0.5060726,1.0030462,0.38788265,1.6024169,4.2787476,0.31978872
RIH,-0.35832995,-1.2111009,3.929143,7.6586943,-0.45785543,1.6485425,0.0,-0.8491572,2.2343466,0.48115426,-0.035965193,-0.5457942,-0.36898717,5.9550843,1.1503685,1.2619988,-0.6505479,10.679263,-0.29137123,1.0725456,-0.15184641,1.9238832,0.6822166,-0.89769644,-0.9312882,-0.29439822,1.2248291,0.25343,-0.48243296,-0.6999541,-0.18240681,0.8117501,0.107762136,6.9433675
RIML,-0.35832995,0.050250407,-0.5863807,-0.45986825,-0.45785543,1.5841535,0.0,-0.1444012,-0.48033923,-0.13557987,1.2837607,-0.015371069,-0.19256334,-0.2631136,-0.50621986,0.6456782,0.08752931,-0.26408654,0.6184167,-0.26417547,-0.15184641,1.700534,-0.47523764,-0.08004509,-0.43769163,-0.29439822,2.1022544,-0.085743815,-0.41340798,0.4495711,1.5255119,0.9600003,0.2193641,-0.40880495
RIMR,-0.35832995,0.050250407,-0.5863807,-0.45986825,-0.45785543,1.5841535,0.0,-0.1444012,-0.48033923,-0.13557987,1.2837607,-0.015371069,-0.19256334,-0.2631136,-0.50621986,0.6456782,0.08752931,-0.26408654,0.6184167,-0.26417547,-0.15184641,1.700534,-0.47523764,-0.08004509,-0.43769163,-0.29439822,2.1022544,-0.085743815,-0.41340798,0.4495711,1.5255119,0.9600003,0.2193641,-0.40880495
RIS,-0.35832995,0.65225893,-0.5863807,-0.07184876,-0.087581225,-0.752642,0.0,-0.8491572,0.17521954,-0.51321787,0.14446603,0.11723469,-0.25872228,-0.81302226,-0.39166856,-0.25223675,-0.34301576,0.24888296,0.3071733,-0.103273876,-0.15184641,-0.9060454,-0.41909248,0.46505576,-0.31429252,-0.29439822,-0.8428733,-0.49590755,0.2845109,0.73695236,-0.17134519,-0.0036251645,-0.5390224,-0.25977445
RIVL,-0.35832995,3.285695,-0.5863807,-0.09467341,-0.22552651,2.9026608,0.0,-0.8491572,0.5929776,-0.4932822,5.4467196,-0.12977605,-0.29980138,-0.23795438,0.02386074,0.66193014,-0.6505479,0.16506442,-0.27259344,0.10179684,0.29496923,0.33934215,1.0615987,-0.6839314,-0.9312882,-0.29439822,-0.7832925,0.3586002,-0.77116483,0.50216377,3.801522,-0.96725035,1.3650256,-0.0698336
